dataset,n_omissions,full_NES,full_nominal_P,LOPO_NES_min,LOPO_NES_max,positive_NES_folds,nominal_P_lt_0_05_folds,max_nominal_P
GSE174554,17,2.4290789842056,4.00136234233155e-07,2.23745306405979,2.50782750938727,17,17,1.12193988654043e-05
GSE274546,45,1.79932425427,0.0039781398566019,1.54307325800296,1.88046704740656,45,45,0.0310757634983536
