dataset,modality,raw_input_unit,input_libraries_or_matrices,n_pairs_before_idh,n_pairs_excluded_idh,excluded_pair_keys,formal_pairs_threshold20,n_cells_primary,n_cells_recurrent,clean_myeloid,minimum_cells_per_condition,processing_scope,statistical_testing,replication_assessment,workflow
GSE174554,snRNA-seq,10x matrices,91,18,1,GSE174554_pair33,17,4764,7725,12489,20,"Each cohort reconstructed, annotated and tested independently","Patient pseudobulk, paired edgeR and Miller-IM GSEA performed separately within each cohort",Cohort results compared only after independent testing,all-cell reconstruction -> pan-myeloid re-clustering -> marker and cluster-DEG review -> patient raw-count pseudobulk -> paired edgeR -> prespecified Miller-IM program GSEA
GSE274546,snRNA-seq,10x libraries,111,45,0,,45,28494,27074,55568,20,"Each cohort reconstructed, annotated and tested independently","Patient pseudobulk, paired edgeR and Miller-IM GSEA performed separately within each cohort",Cohort results compared only after independent testing,all-cell reconstruction -> pan-myeloid re-clustering -> marker and cluster-DEG review -> patient raw-count pseudobulk -> paired edgeR -> prespecified Miller-IM program GSEA
