raw20_order,gene,dataset,tested,logFC,PValue,FDR,cohort_leading_edge,shared_leading_edge
1,PDK4,GSE174554,True,0.931041077772874,0.113517161746498,0.712644144425914,True,True
1,PDK4,GSE274546,True,0.40224984972935,0.296374503686571,0.799060543298283,True,True
2,P2RY13,GSE174554,True,1.13872188101713,0.0067157350387011,0.279434152678858,True,False
2,P2RY13,GSE274546,True,-0.143738170953508,0.571580820547892,0.91460728178969,False,False
3,USP53,GSE174554,True,-0.260078345164432,0.307970819944879,0.886552921149583,False,False
3,USP53,GSE274546,True,-0.0065573065667785,0.967380052830739,0.995755345108203,False,False
4,KLF2,GSE174554,True,0.785088983142376,0.0856301146670637,0.662313437394836,True,False
4,KLF2,GSE274546,True,0.115706087727554,0.632958532245509,0.929914895786255,False,False
5,RHOB,GSE174554,True,0.363261721790858,0.358440585151366,0.911112382470477,False,False
5,RHOB,GSE274546,True,0.294661312257044,0.0746666534639269,0.557697527487661,True,False
6,BHLHE41,GSE174554,True,1.15269174554487,0.0013536240530245,0.142531087787351,True,False
6,BHLHE41,GSE274546,True,0.156697097737931,0.514326399676076,0.898585489486156,False,False
7,CTTNBP2,GSE174554,True,0.49862921534839,0.167536759231047,0.773256131039433,True,False
7,CTTNBP2,GSE274546,True,0.0564554586369157,0.794892358236745,0.964382509104448,False,False
8,SGK1,GSE174554,True,0.484073741613755,0.0652216255122544,0.614937891984079,True,True
8,SGK1,GSE274546,True,0.437759595384715,0.0101901956423688,0.322063910344347,True,True
9,ITM2C,GSE174554,True,0.953949706720449,0.0522293808209554,0.573966965592587,True,False
9,ITM2C,GSE274546,True,-0.0797100862117843,0.667604779522176,0.938990750919492,False,False
10,GSTM3,GSE174554,True,0.393272046928595,0.43719498583625,0.927702047880785,False,False
10,GSTM3,GSE274546,True,-0.23285669804407,0.255387130656576,0.779914860925618,False,False
11,CCL3,GSE174554,True,1.09147462333094,0.136721304137508,0.742483264439335,True,True
11,CCL3,GSE274546,True,1.00581115736482,0.0015164809273005,0.188106821690573,True,True
12,CH25H,GSE174554,True,1.32726198034353,0.0134870293088862,0.35323008994517,True,True
12,CH25H,GSE274546,True,0.983783568032675,0.0250475642977185,0.410094648173517,True,True
13,P2RY12,GSE174554,True,1.37367390556323,0.0134273943559424,0.35323008994517,True,False
13,P2RY12,GSE274546,True,-0.0523547722445682,0.892818074397755,0.983014937497532,False,False
14,JUN,GSE174554,True,0.584252703231242,0.130347338138674,0.733000258132992,True,False
14,JUN,GSE274546,True,0.0729389336231113,0.585395782376308,0.919313939144186,False,False
15,SIGLEC8,GSE174554,True,0.56708241492023,0.100859327059357,0.685249032586349,True,True
15,SIGLEC8,GSE274546,True,0.257764624350723,0.325033902680002,0.81461422332962,True,True
16,KLF6,GSE174554,True,0.610543904069084,0.0409885557132679,0.53539355241166,True,True
16,KLF6,GSE274546,True,0.140430387754796,0.29741305862599,0.799790863041705,True,True
17,FOLR2,GSE174554,True,1.73790386220637,7.36295660520542e-05,0.0506522328060765,True,True
17,FOLR2,GSE274546,True,0.379275244658607,0.204056673262097,0.742031819586233,True,True
18,CCL4,GSE174554,True,1.37021923750983,0.0733500835349656,0.631275656378073,True,True
18,CCL4,GSE274546,True,0.875995892482766,0.0111937656570288,0.332587474043971,True,True
19,AC253572.2,GSE174554,False,,,,False,False
19,AC253572.2,GSE274546,False,,,,False,False
20,NLRP3,GSE174554,True,0.0900483178697477,0.773261727918464,0.975347224567477,False,False
20,NLRP3,GSE274546,True,0.0738268361225475,0.698386152489413,0.947507240121482,False,False
