"dataset","run_type","omitted_patient","n_pairs","n_tested_genes","pathway","size","ES","NES","nominal_P","log2err","leadingEdge"
"GSE174554","Leave-one-patient-out","GSE174554_pair9",16,10144,"Miller_Microglial_Inflammatory_raw_top20",18,0.784694746067172,2.29477993712449,6.96700139206842e-07,0.659444398037935,"BHLHE41;FOLR2;P2RY13;P2RY12;CH25H;CTTNBP2;SIGLEC8;SGK1;ITM2C;PDK4;KLF6;KLF2"
"GSE274546","Full","None",45,17862,"Miller_Microglial_Inflammatory_raw_top20",19,0.594069281492949,1.79932425427,0.00397813985660199,0.407017918923954,"CCL3;SGK1;CCL4;CH25H;RHOB;FOLR2;PDK4;KLF6;SIGLEC8"
"GSE274546","Leave-one-patient-out","GSE274546_DU01",44,17979,"Miller_Microglial_Inflammatory_raw_top20",19,0.621508242002398,1.87013050717413,0.00212744270696189,0.431707695803346,"CCL3;SGK1;CCL4;CH25H;RHOB;FOLR2;SIGLEC8;PDK4;BHLHE41;KLF6"
"GSE274546","Leave-one-patient-out","GSE274546_DU02",44,17851,"Miller_Microglial_Inflammatory_raw_top20",19,0.576873130702307,1.7418610514834,0.00780153841439965,0.407017918923954,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;PDK4;KLF6;SIGLEC8"
"GSE274546","Leave-one-patient-out","GSE274546_DU03",44,17632,"Miller_Microglial_Inflammatory_raw_top20",19,0.617590680055455,1.86407254250328,0.00247915580047639,0.431707695803346,"CCL3;SGK1;CCL4;CH25H;RHOB;KLF6;FOLR2;JUN;BHLHE41;PDK4;SIGLEC8"
"GSE274546","Leave-one-patient-out","GSE274546_DU04",44,17852,"Miller_Microglial_Inflammatory_raw_top20",19,0.59996018541884,1.82457718249947,0.00231723783409451,0.431707695803346,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;SIGLEC8;PDK4;KLF6;BHLHE41"
"GSE274546","Leave-one-patient-out","GSE274546_DU06",44,17834,"Miller_Microglial_Inflammatory_raw_top20",19,0.566463065589247,1.67529260355698,0.0108382296677926,0.380730400722792,"CCL3;SGK1;CCL4;CH25H;RHOB;FOLR2;SIGLEC8;PDK4;KLF6"
"GSE274546","Leave-one-patient-out","GSE274546_FR01",44,17960,"Miller_Microglial_Inflammatory_raw_top20",19,0.603611323705351,1.80163801706456,0.0020908504143,0.431707695803346,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;SIGLEC8;KLF6;PDK4;BHLHE41;KLF2;JUN"
"GSE274546","Leave-one-patient-out","GSE274546_FR02",44,17978,"Miller_Microglial_Inflammatory_raw_top20",19,0.56788040826859,1.69590318458686,0.0079261184533706,0.380730400722792,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;SIGLEC8;KLF6;PDK4"
"GSE274546","Leave-one-patient-out","GSE274546_FR05",44,17846,"Miller_Microglial_Inflammatory_raw_top20",19,0.513885712043258,1.56170417941739,0.0255603118087485,0.352487857583619,"CCL3;SGK1;CCL4;CH25H;RHOB;KLF6;FOLR2;PDK4"
"GSE274546","Leave-one-patient-out","GSE274546_FR07",44,17845,"Miller_Microglial_Inflammatory_raw_top20",19,0.572255422343911,1.74692361062127,0.0100569772849831,0.380730400722792,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;KLF6;SIGLEC8;PDK4;BHLHE41;JUN"
"GSE274546","Leave-one-patient-out","GSE274546_FR09",44,17823,"Miller_Microglial_Inflammatory_raw_top20",19,0.56043092926892,1.66508243328737,0.0103227597491223,0.380730400722792,"CCL3;SGK1;CCL4;CH25H;RHOB;FOLR2;SIGLEC8;PDK4;KLF6"
"GSE274546","Leave-one-patient-out","GSE274546_FR10",44,17841,"Miller_Microglial_Inflammatory_raw_top20",19,0.630022272356028,1.87356460662509,0.0021182073356086,0.431707695803346,"CCL3;SGK1;CH25H;CCL4;RHOB;FOLR2;SIGLEC8;PDK4;KLF6;BHLHE41"
"GSE274546","Leave-one-patient-out","GSE274546_FR11",44,17840,"Miller_Microglial_Inflammatory_raw_top20",19,0.546100584062913,1.60845700448816,0.0180764208427143,0.352487857583619,"CCL3;SGK1;CCL4;CH25H;RHOB;FOLR2;KLF6;PDK4;SIGLEC8"
"GSE274546","Leave-one-patient-out","GSE274546_FR12",44,17851,"Miller_Microglial_Inflammatory_raw_top20",19,0.605194580415959,1.813558011631,0.00456649155735997,0.407017918923954,"CCL3;SGK1;CCL4;CH25H;RHOB;FOLR2;KLF6;PDK4;SIGLEC8"
"GSE274546","Leave-one-patient-out","GSE274546_FR14",44,17847,"Miller_Microglial_Inflammatory_raw_top20",19,0.585196266082402,1.76325437082894,0.00769791266695981,0.407017918923954,"CCL3;SGK1;CCL4;CH25H;RHOB;KLF6;FOLR2;PDK4;JUN;KLF2;SIGLEC8"
"GSE274546","Leave-one-patient-out","GSE274546_FR16",44,17827,"Miller_Microglial_Inflammatory_raw_top20",19,0.56515401461361,1.68818865439349,0.00787439185458149,0.380730400722792,"CCL3;SGK1;CCL4;CH25H;RHOB;KLF6;FOLR2;PDK4;SIGLEC8;BHLHE41;JUN"
