"dataset","run_type","omitted_patient","n_pairs_before","n_pairs_after","n_units","n_genes_input","n_tested_genes","design_rank","residual_df","coefficient","seed","threshold_min_cells_per_endpoint","workers"
"GSE274546","Leave-one-patient-out","GSE274546_SN09",45,44,88,33538,17904,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_SN12",45,44,88,33538,17857,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_TK01",45,44,88,33538,17852,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_TK02",45,44,88,33538,17915,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_TK03",45,44,88,33538,17851,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_TK04",45,44,88,33538,17832,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_TK05",45,44,88,33538,17848,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_TK07",45,44,88,33538,17830,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_TK08",45,44,88,33538,17855,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_TK11",45,44,88,33538,17915,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_TK12",45,44,88,33538,17747,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_TK13",45,44,88,33538,17952,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_TK14",45,44,88,33538,17794,45,43,"conditionRecurrent",42,20,9
