gene,rank_GSE174554,rank_stat_GSE174554,program_GSE174554,rank_GSE274546,rank_stat_GSE274546,program_GSE274546,miller_raw20,density,shared_leading_edge,labelled,display_role,display_label
C2CD2,4420,0.2216641117417251,False,16613,-1.7555286188089414,False,False,2.0794415416798357,False,False,transcriptome_background,
MARCH6,4421,0.2210920516068648,False,2709,1.188762353623957,False,False,2.6390573296152584,False,False,transcriptome_background,
WDR19,4422,0.2210484895476537,False,419,2.5715270312930447,False,False,1.6094379124341005,False,False,transcriptome_background,
LRRC49,4423,0.2208691654980982,False,3475,0.9843654887597432,False,False,2.833213344056216,False,False,transcriptome_background,
C20orf194,4424,0.2207048146878878,False,631,2.3071675126716853,False,False,1.6094379124341005,False,False,transcriptome_background,
FAM104A,4425,0.2205206244269662,False,15390,-1.2986928060208849,False,False,2.5649493574615367,False,False,transcriptome_background,
CCDC191,4426,0.2196493501993973,False,14387,-1.0424916944087756,False,False,2.9444389791664403,False,False,transcriptome_background,
MAP3K4,4427,0.219084253907494,False,3588,0.9504079569510558,False,False,2.8903717578961645,False,False,transcriptome_background,
PID1,4428,0.2190652694809469,False,3235,1.0441387675598488,False,False,2.833213344056216,False,False,transcriptome_background,
ZNF225,4429,0.2183364648678298,False,4598,0.7104179041534405,False,False,3.4011973816621555,False,False,transcriptome_background,
KCTD20,4430,0.2182878155738022,False,5622,0.5080017759306881,False,False,3.091042453358316,False,False,transcriptome_background,
DIS3L,4431,0.2182584950748004,False,11704,-0.5183380197287838,False,False,3.218875824868201,False,False,transcriptome_background,
TMEM161A,4432,0.2180121887676808,False,17044,-2.004657922418269,False,False,2.1972245773362196,False,False,transcriptome_background,
RPS24,4433,0.217737639205979,False,17234,-2.146645507034089,False,False,2.0794415416798357,False,False,transcriptome_background,
DIP2C,4434,0.2168354131798577,False,130,3.236332127678493,False,False,0.6931471805599453,False,False,transcriptome_background,
CYSTM1,4435,0.2164412390912274,False,2131,1.3833731486675929,False,False,2.4849066497880004,False,False,transcriptome_background,
MSANTD3,4436,0.216349902107918,False,7534,0.1707803559715109,False,False,3.1780538303479458,False,False,transcriptome_background,
ARPC3,4437,0.2162866893304227,False,14922,-1.1670977050272695,False,False,2.302585092994046,False,False,transcriptome_background,
ZNF90,4438,0.2158419904419728,False,17188,-2.1088877072202115,False,False,2.0794415416798357,False,False,transcriptome_background,
EPS15L1,4439,0.2155609253034754,False,3875,0.8776067078802355,False,False,2.8903717578961645,False,False,transcriptome_background,
SNX4,4440,0.215035786354424,False,4213,0.8006486925346322,False,False,2.9444389791664403,False,False,transcriptome_background,
B2M,4441,0.2142831869423938,False,16265,-1.5985223491969545,False,False,2.5649493574615367,False,False,transcriptome_background,
VAV1,4442,0.2142233545526897,False,4873,0.660097608481351,False,False,3.4011973816621555,False,False,transcriptome_background,
SEMA6A-AS1,4443,0.214209833829932,False,2846,1.146406105208054,False,False,2.6390573296152584,False,False,transcriptome_background,
PLBD1-AS1,4444,0.2141129356744241,False,15417,-1.306173362818041,False,False,2.5649493574615367,False,False,transcriptome_background,
ASCC1,4445,0.2137438738489475,False,4716,0.6885502632616518,False,False,3.4011973816621555,False,False,transcriptome_background,
DNM3,4446,0.2136233156730322,False,3940,0.8602565335205673,False,False,2.8903717578961645,False,False,transcriptome_background,
MRPS5,4447,0.213508583896045,False,17249,-2.1587806176861974,False,False,2.0794415416798357,False,False,transcriptome_background,
DDX10,4448,0.2132612346580154,False,5025,0.6225973252335437,False,False,3.4011973816621555,False,False,transcriptome_background,
TMEM62,4449,0.213058661651853,False,11910,-0.5492927840196611,False,False,3.367295829986474,False,False,transcriptome_background,
NEXN,4450,0.2129913011072238,False,17788,-3.002213582072996,False,False,1.6094379124341005,False,False,transcriptome_background,
PARP10,4451,0.2128330575157976,False,439,2.5511449915295423,False,False,1.6094379124341005,False,False,transcriptome_background,
PSPC1,4452,0.2126023654107077,False,7305,0.2086225507873743,False,False,3.1780538303479458,False,False,transcriptome_background,
TPCN2,4453,0.2123247160088999,False,633,2.3044943269087126,False,False,1.6094379124341005,False,False,transcriptome_background,
ENC1,4454,0.2121062973832863,False,5314,0.5694991435983895,False,False,3.091042453358316,False,False,transcriptome_background,
PTDSS2,4455,0.2111639598332021,False,4583,0.7140223552413852,False,False,3.4011973816621555,False,False,transcriptome_background,
KCTD10,4456,0.2108427177453366,False,16439,-1.6727998157307944,False,False,2.0794415416798357,False,False,transcriptome_background,
SHMT1,4457,0.2106716272431126,False,9437,-0.1437350134131656,False,False,3.258096538021482,False,False,transcriptome_background,
ITSN2,4458,0.2100549540035,False,2609,1.2187647406677469,False,False,2.6390573296152584,False,False,transcriptome_background,
RGS3,4460,0.2097704927144511,False,14785,-1.1317165511683789,False,False,2.9444389791664403,False,False,transcriptome_background,
ESCO1,4461,0.2094878324804583,False,8379,0.0262788221430508,False,False,3.1354942159291497,False,False,transcriptome_background,
WAS,4463,0.2093567518149629,False,16913,-1.9232158492215272,False,False,2.1972245773362196,False,False,transcriptome_background,
PTPRF,4464,0.209199358980227,False,2697,1.1917904189461292,False,False,2.6390573296152584,False,False,transcriptome_background,
ANKS1A,4465,0.2089703906783262,False,1662,1.6056650946971662,False,False,2.1972245773362196,False,False,transcriptome_background,
LINC01605,4466,0.2085039566225473,False,964,2.033123968136857,False,False,1.791759469228055,False,False,transcriptome_background,
TMEM219,4467,0.2084556797461925,False,17072,-2.0222423902805566,False,False,2.1972245773362196,False,False,transcriptome_background,
CHD1,4469,0.2080293453981481,False,2016,1.4389207391648051,False,False,2.4849066497880004,False,False,transcriptome_background,
RNF219,4470,0.2071404120396179,False,10542,-0.3253379157692198,False,False,3.4011973816621555,False,False,transcriptome_background,
SNRPD1,4471,0.2065871405333308,False,16898,-1.9130011541056269,False,False,2.0794415416798357,False,False,transcriptome_background,
ZNF85,4472,0.2064631996667691,False,14540,-1.0732666225078091,False,False,3.1780538303479458,False,False,transcriptome_background,
C17orf80,4473,0.2061643814260889,False,13401,-0.8245490669434197,False,False,3.044522437723423,False,False,transcriptome_background,
MGST3,4474,0.2061093437956533,False,6635,0.3219018925513409,False,False,3.218875824868201,False,False,transcriptome_background,
TMC8,4475,0.2059412435660021,False,8307,0.038715233637443,False,False,3.4657359027997265,False,False,transcriptome_background,
TCERG1,4476,0.2055765152029679,False,5801,0.4742069029257745,False,False,3.258096538021482,False,False,transcriptome_background,
FAM53A,4478,0.2053078011392726,False,11235,-0.4393661836517621,False,False,3.332204510175204,False,False,transcriptome_background,
MYO16,4479,0.2051336202945994,False,10199,-0.2680211267650729,False,False,3.49650756146648,False,False,transcriptome_background,
SMNDC1,4480,0.2050315575657189,False,17729,-2.8082062973342503,False,False,1.6094379124341005,False,False,transcriptome_background,
CNIH1,4481,0.204877989476863,False,14638,-1.0951755405738526,False,False,3.1780538303479458,False,False,transcriptome_background,
USP7,4482,0.2045758075741662,False,13552,-0.8564281609833985,False,False,3.044522437723423,False,False,transcriptome_background,
METTL15,4483,0.2045508006212637,False,7877,0.1129689479617049,False,False,3.218875824868201,False,False,transcriptome_background,
CCDC107,4484,0.2043869678879336,False,2799,1.1605457653760278,False,False,3.044522437723423,False,False,transcriptome_background,
ZNF350,4485,0.204237776110448,False,13260,-0.7964547072777334,False,False,3.044522437723423,False,False,transcriptome_background,
WDR91,4486,0.2041793968680052,False,605,2.3247210340339763,False,False,1.9459101490553132,False,False,transcriptome_background,
COX6C,4487,0.2041793823522338,False,14524,-1.0701470694401682,False,False,3.1780538303479458,False,False,transcriptome_background,
UPF1,4488,0.2035677599524956,False,14205,-1.000682093074439,False,False,3.1354942159291497,False,False,transcriptome_background,
RAB4A,4489,0.2029648207961473,False,14231,-1.0058421955353882,False,False,3.1354942159291497,False,False,transcriptome_background,
CHDH,4490,0.2029427627720821,False,15179,-1.230249266016993,False,False,2.772588722239781,False,False,transcriptome_background,
MARS,4491,0.2022125740587419,False,9252,-0.1145857213305763,False,False,3.218875824868201,False,False,transcriptome_background,
CEP290,4492,0.201462537426392,False,14909,-1.1642854938042386,False,False,2.772588722239781,False,False,transcriptome_background,
LEMD3,4493,0.2013524248317993,False,5304,0.5719472794627675,False,False,3.218875824868201,False,False,transcriptome_background,
ANAPC10,4494,0.200813548604373,False,8548,-0.0015183060497446,False,False,3.4657359027997265,False,False,transcriptome_background,
ZNF600,4495,0.2003256924207027,False,434,2.5587027484692646,False,False,1.0986122886681098,False,False,transcriptome_background,
ARHGAP27,4496,0.1994683289760008,False,10611,-0.3382930147970084,False,False,3.4011973816621555,False,False,transcriptome_background,
