patient,gene,Primary,Recurrent,delta_log2_abundance,n_pairs_gene,n_recurrence_up_gene,logFC,ci_low,ci_high,P.Value,adj.P.Val,significant,y_base,y_jitter
KNCC_GBM0001,CTTNBP2,-0.26856895318609325,0.1487181801974768,0.41728713338357004,105,55,0.0980737727751807,0.0192089774448986,0.176938568105463,0.0164435201061068,0.0316135610735613,True,6.0,6.183273792558386
KNCC_GBM0001,FOLR2,0.14824630600366595,0.2116270131067094,0.06338070710304344,105,72,0.341343862250829,0.201974157809506,0.480713566692153,5.17621424969388e-06,2.84855349083786e-05,True,9.0,9.186322542880418
KNCC_GBM0001,GSTM3,-0.1344047875850102,0.314093997350242,0.4484987849352522,105,76,0.314897010331394,0.191808573087579,0.437985447575209,2.12806536159747e-06,1.3749828706212e-05,True,8.0,7.884847619916096
KNCC_GBM0001,ITM2C,0.00232389222818365,0.1184466426676646,0.11612275043948095,105,70,0.0707609661605836,-0.0160664610549186,0.157588393376086,0.113147359514004,0.170051528106548,False,5.0,4.856126553788714
KNCC_GBM0001,JUN,0.060018400494881455,0.6083292092316154,0.5483108087367339,86,40,-0.0097438498425401,-0.159843841263901,0.14035614157882,0.899045385927025,0.923604117314994,False,3.0,3.045141119584802
KNCC_GBM0001,P2RY12,-0.05435146463562275,-0.2449641362713189,-0.19061267163569617,105,48,-0.0323824374915865,-0.188377382110929,0.123612507127756,0.684917874207751,0.749380240730217,False,1.0,1.0293770993950344
KNCC_GBM0001,P2RY13,0.6560403019865628,0.0234947275736177,-0.6325455744129451,60,28,-0.136313893562712,-0.32090493354357,0.0482771464181472,0.152838999613451,0.219087941702453,False,0.0,0.19067077691599185
KNCC_GBM0001,PDK4,0.3714612972600549,0.0238476516520823,-0.3476136456079726,30,19,0.282702544453618,0.058847832453079,0.506557256454156,0.0188280586983539,0.0356470353680158,True,7.0,7.149790270303791
KNCC_GBM0001,RHOB,-0.6577275471413465,0.6020379814434219,1.2597655285847684,105,85,0.544184615132506,0.382677590460858,0.705691639804155,1.60091382160134e-09,7.24893778421086e-08,True,10.0,9.81594819683505
KNCC_GBM0001,SIGLEC8,-0.3909855657374436,0.0268562640628967,0.4178418298003403,95,56,0.0645300164947364,-0.0844851012066222,0.213545134196095,0.3981053899374,0.488303501364327,False,4.0,4.039721744145516
KNCC_GBM0001,USP53,-0.02427069276538945,-0.00453678815505,0.01973390461033945,67,33,-0.0302276534309614,-0.167993267535646,0.107537960673723,0.668502165284492,0.735631817927525,False,2.0,1.983021427832019
KNCC_GBM0002,CTTNBP2,-0.4026152660350741,0.686095936928577,1.088711202963651,105,55,0.0980737727751807,0.0192089774448986,0.176938568105463,0.0164435201061068,0.0316135610735613,True,6.0,5.995666872948953
KNCC_GBM0002,FOLR2,0.7839230118553533,-0.0149020801685015,-0.7988250920238548,105,72,0.341343862250829,0.201974157809506,0.480713566692153,5.17621424969388e-06,2.84855349083786e-05,True,9.0,9.176025515270807
KNCC_GBM0002,GSTM3,-0.8052760068503027,-0.4403416881129253,0.36493431873737736,105,76,0.314897010331394,0.191808573087579,0.437985447575209,2.12806536159747e-06,1.3749828706212e-05,True,8.0,8.148802592721603
KNCC_GBM0002,ITM2C,-0.3002799445956269,0.0285262727380801,0.328806217333707,105,70,0.0707609661605836,-0.0160664610549186,0.157588393376086,0.113147359514004,0.170051528106548,False,5.0,5.0142697034394486
KNCC_GBM0002,JUN,-0.7189245607794086,-0.8338726024939874,-0.11494804171457884,86,40,-0.0097438498425401,-0.159843841263901,0.14035614157882,0.899045385927025,0.923604117314994,False,3.0,3.1662382202168384
KNCC_GBM0002,P2RY12,-0.4871833809372758,-0.7135490448478429,-0.22636566391056706,105,48,-0.0323824374915865,-0.188377382110929,0.123612507127756,0.684917874207751,0.749380240730217,False,1.0,0.8886353192496439
KNCC_GBM0002,P2RY13,0.0811735840865149,-0.3253148316653492,-0.4064884157518641,60,28,-0.136313893562712,-0.32090493354357,0.0482771464181472,0.152838999613451,0.219087941702453,False,0.0,0.19180484535557554
KNCC_GBM0002,PDK4,0.2118342609371505,-0.2671076290996585,-0.478941890036809,30,19,0.282702544453618,0.058847832453079,0.506557256454156,0.0188280586983539,0.0356470353680158,True,7.0,7.077647857842089
KNCC_GBM0002,RHOB,-1.0040799484287426,-0.3399393268394056,0.6641406215893371,105,85,0.544184615132506,0.382677590460858,0.705691639804155,1.60091382160134e-09,7.24893778421086e-08,True,10.0,9.970629905403113
KNCC_GBM0002,SIGLEC8,0.5301826525734634,-0.2454900372205317,-0.7756726897939952,95,56,0.0645300164947364,-0.0844851012066222,0.213545134196095,0.3981053899374,0.488303501364327,False,4.0,4.06317472390325
KNCC_GBM0002,USP53,-0.2665565719069506,-0.1241362584817866,0.14242031342516398,67,33,-0.0302276534309614,-0.167993267535646,0.107537960673723,0.668502165284492,0.735631817927525,False,2.0,1.8290500534023406
KNCC_GBM0003,CTTNBP2,-0.0370201980069598,-0.2481824289973699,-0.2111622309904101,105,55,0.0980737727751807,0.0192089774448986,0.176938568105463,0.0164435201061068,0.0316135610735613,True,6.0,6.147183930440243
KNCC_GBM0003,FOLR2,0.2764939825861934,0.5392055043302653,0.26271152174407186,105,72,0.341343862250829,0.201974157809506,0.480713566692153,5.17621424969388e-06,2.84855349083786e-05,True,9.0,9.12965223460476
KNCC_GBM0003,GSTM3,-0.603953700411447,0.950596437315386,1.554550137726833,105,76,0.314897010331394,0.191808573087579,0.437985447575209,2.12806536159747e-06,1.3749828706212e-05,True,8.0,7.934004103423228
KNCC_GBM0003,ITM2C,-0.2775929002184382,0.0010886556660654,0.2786815558845036,105,70,0.0707609661605836,-0.0160664610549186,0.157588393376086,0.113147359514004,0.170051528106548,False,5.0,4.871109621278421
KNCC_GBM0003,JUN,-0.5762585419868844,1.680946976551212,2.2572055185380964,86,40,-0.0097438498425401,-0.159843841263901,0.14035614157882,0.899045385927025,0.923604117314994,False,3.0,2.9707023858650734
KNCC_GBM0003,P2RY12,0.2137472622217658,0.0763709530065762,-0.1373763092151896,105,48,-0.0323824374915865,-0.188377382110929,0.123612507127756,0.684917874207751,0.749380240730217,False,1.0,0.9929623229774441
