geo_accession,sample,assigned_state,tested_marker_set,n_cells,mean_marker_set_score
GSM8546883,GBM010,MCG4,MCG1,48,0.6556999086897015
GSM8546883,GBM010,MCG4,MCG2,48,0.9742349564904188
GSM8546883,GBM010,MCG4,MCG3,48,1.0923549460206807
GSM8546883,GBM010,MCG4,MCG4,48,1.4361992102048513
GSM8546883,GBM010,MCG4,MCG5,48,0.9909236589762832
GSM8546883,GBM010,MCG4,MAC1,48,0.8286331686622651
GSM8546883,GBM010,MCG4,MAC2,48,0.8554749034623228
GSM8546883,GBM010,MCG4,E-MDSC,48,0.6682338443991442
GSM8546883,GBM010,MCG4,M-MDSC,48,0.2987049155433973
GSM8546883,GBM010,MAC2,MCG1,151,1.4226668902667066
GSM8546883,GBM010,MAC2,MCG2,151,1.5940320059322566
GSM8546883,GBM010,MAC2,MCG3,151,0.5462220936390081
GSM8546883,GBM010,MAC2,MCG4,151,1.2930983830903429
GSM8546883,GBM010,MAC2,MCG5,151,0.7200739731573126
GSM8546883,GBM010,MAC2,MAC1,151,0.9241053422565483
GSM8546883,GBM010,MAC2,MAC2,151,2.03108956517595
GSM8546883,GBM010,MAC2,E-MDSC,151,0.9171872070385351
GSM8546883,GBM010,MAC2,M-MDSC,151,0.9214997046514852
GSM8546883,GBM010,E-MDSC,MCG1,41,0.9331699099115122
GSM8546883,GBM010,E-MDSC,MCG2,41,0.9671357038739501
GSM8546883,GBM010,E-MDSC,MCG3,41,0.3060696954137618
GSM8546883,GBM010,E-MDSC,MCG4,41,0.8782502521242751
GSM8546883,GBM010,E-MDSC,MCG5,41,0.9860150759946682
GSM8546883,GBM010,E-MDSC,MAC1,41,0.5275669774263011
GSM8546883,GBM010,E-MDSC,MAC2,41,1.0628367307934006
GSM8546883,GBM010,E-MDSC,E-MDSC,41,1.847809539163106
GSM8546883,GBM010,E-MDSC,M-MDSC,41,1.0658528319800773
GSM8546884,GBM029,MCG1,MCG1,47,1.6856527724454473
GSM8546884,GBM029,MCG1,MCG2,47,1.4457094703652777
GSM8546884,GBM029,MCG1,MCG3,47,0.6064901236044881
GSM8546884,GBM029,MCG1,MCG4,47,0.4164601004044618
GSM8546884,GBM029,MCG1,MCG5,47,0.80506377017409
GSM8546884,GBM029,MCG1,MAC1,47,0.4134712889280505
GSM8546884,GBM029,MCG1,MAC2,47,0.8916237810341662
GSM8546884,GBM029,MCG1,E-MDSC,47,0.8898168765249169
GSM8546884,GBM029,MCG1,M-MDSC,47,0.45372771569783793
GSM8546884,GBM029,MCG2,MCG1,205,1.4084369684146256
GSM8546884,GBM029,MCG2,MCG2,205,1.856103397662159
GSM8546884,GBM029,MCG2,MCG3,205,0.8646243222812972
GSM8546884,GBM029,MCG2,MCG4,205,0.682580029793904
GSM8546884,GBM029,MCG2,MCG5,205,1.0006135706936616
GSM8546884,GBM029,MCG2,MAC1,205,0.5438703504245835
GSM8546884,GBM029,MCG2,MAC2,205,0.9404965692903937
GSM8546884,GBM029,MCG2,E-MDSC,205,0.5433806741226872
GSM8546884,GBM029,MCG2,M-MDSC,205,0.22558879152546085
GSM8546884,GBM029,E-MDSC,MCG1,74,0.7496218792536083
GSM8546884,GBM029,E-MDSC,MCG2,74,0.8680191218892966
GSM8546884,GBM029,E-MDSC,MCG3,74,0.33028042317152734
GSM8546884,GBM029,E-MDSC,MCG4,74,0.3083717618814566
GSM8546884,GBM029,E-MDSC,MCG5,74,0.8127855277077567
GSM8546884,GBM029,E-MDSC,MAC1,74,0.23091330458218567
GSM8546884,GBM029,E-MDSC,MAC2,74,0.5220042946102382
GSM8546884,GBM029,E-MDSC,E-MDSC,74,1.491474036005763
GSM8546884,GBM029,E-MDSC,M-MDSC,74,0.6955195218025778
GSM8546885,GBM030,MCG1,MCG1,828,1.9387117584500253
GSM8546885,GBM030,MCG1,MCG2,828,1.7178738052288498
GSM8546885,GBM030,MCG1,MCG3,828,0.9060963233510333
GSM8546885,GBM030,MCG1,MCG4,828,0.6010005081795232
GSM8546885,GBM030,MCG1,MCG5,828,1.065108621717016
GSM8546885,GBM030,MCG1,MAC1,828,0.784962541597605
GSM8546885,GBM030,MCG1,MAC2,828,1.0676603461086902
GSM8546885,GBM030,MCG1,E-MDSC,828,0.7325464263593694
GSM8546885,GBM030,MCG1,M-MDSC,828,0.40486859565352895
GSM8546885,GBM030,MCG2,MCG1,400,1.630465877304509
GSM8546885,GBM030,MCG2,MCG2,400,1.8263494943472824
GSM8546885,GBM030,MCG2,MCG3,400,0.9397597209672132
GSM8546885,GBM030,MCG2,MCG4,400,0.6045071748850306
GSM8546885,GBM030,MCG2,MCG5,400,1.0745591783982056
GSM8546885,GBM030,MCG2,MAC1,400,0.7879811574319998
GSM8546885,GBM030,MCG2,MAC2,400,0.8860841711739362
GSM8546885,GBM030,MCG2,E-MDSC,400,0.699150658579389
GSM8546885,GBM030,MCG2,M-MDSC,400,0.22654494812678208
GSM8546885,GBM030,E-MDSC,MCG1,172,0.9477697303080499
GSM8546885,GBM030,E-MDSC,MCG2,172,0.7574364516022645
GSM8546885,GBM030,E-MDSC,MCG3,172,0.3090383220257993
GSM8546885,GBM030,E-MDSC,MCG4,172,-0.20735557442387173
GSM8546885,GBM030,E-MDSC,MCG5,172,0.8381010102386908
GSM8546885,GBM030,E-MDSC,MAC1,172,0.2512513021628062
GSM8546885,GBM030,E-MDSC,MAC2,172,0.1542832050987901
GSM8546885,GBM030,E-MDSC,E-MDSC,172,1.6829622736013903
GSM8546885,GBM030,E-MDSC,M-MDSC,172,0.7433957876161087
GSM8546885,GBM030,M-MDSC,MCG1,32,1.2636353829181153
GSM8546885,GBM030,M-MDSC,MCG2,32,0.9912376905199867
GSM8546885,GBM030,M-MDSC,MCG3,32,0.1595222304595841
GSM8546885,GBM030,M-MDSC,MCG4,32,-0.08568573061287879
GSM8546885,GBM030,M-MDSC,MCG5,32,0.7399191936621299
GSM8546885,GBM030,M-MDSC,MAC1,32,0.2361300729215145
GSM8546885,GBM030,M-MDSC,MAC2,32,0.556069643517672
GSM8546885,GBM030,M-MDSC,E-MDSC,32,1.1654051598469923
GSM8546885,GBM030,M-MDSC,M-MDSC,32,1.7366305329582907
GSM8546886,GBM035,MCG1,MCG1,463,1.9986733163615673
GSM8546886,GBM035,MCG1,MCG2,463,1.6955336667816747
GSM8546886,GBM035,MCG1,MCG3,463,0.8203811341210868
GSM8546886,GBM035,MCG1,MCG4,463,0.8680599838246309
GSM8546886,GBM035,MCG1,MCG5,463,1.1318523353728116
GSM8546886,GBM035,MCG1,MAC1,463,0.8139354908120628
GSM8546886,GBM035,MCG1,MAC2,463,1.1356569576327349
GSM8546886,GBM035,MCG1,E-MDSC,463,0.6440134263316964
GSM8546886,GBM035,MCG1,M-MDSC,463,0.5245130607942783
GSM8546886,GBM035,MCG2,MCG1,124,1.4578351262527678
GSM8546886,GBM035,MCG2,MCG2,124,1.7137134178516593
GSM8546886,GBM035,MCG2,MCG3,124,0.7349548476592613
GSM8546886,GBM035,MCG2,MCG4,124,0.8202675225207672
GSM8546886,GBM035,MCG2,MCG5,124,1.0196809557090747
GSM8546886,GBM035,MCG2,MAC1,124,0.7255872344293082
GSM8546886,GBM035,MCG2,MAC2,124,0.941705514246948
GSM8546886,GBM035,MCG2,E-MDSC,124,0.6453292900710849
GSM8546886,GBM035,MCG2,M-MDSC,124,0.4832823674524984
GSM8546886,GBM035,MCG4,MCG1,34,0.6703481380345107
GSM8546886,GBM035,MCG4,MCG2,34,0.9938748858686232
GSM8546886,GBM035,MCG4,MCG3,34,0.8687936686222849
GSM8546886,GBM035,MCG4,MCG4,34,1.499277135613124
GSM8546886,GBM035,MCG4,MCG5,34,1.13681255284972
GSM8546886,GBM035,MCG4,MAC1,34,0.6854723208068145
GSM8546886,GBM035,MCG4,MAC2,34,0.5855522505893669
GSM8546886,GBM035,MCG4,E-MDSC,34,0.7258344276929558
GSM8546886,GBM035,MCG4,M-MDSC,34,0.7357407703119165
GSM8546886,GBM035,MCG5,MCG1,31,1.027419173186459
GSM8546886,GBM035,MCG5,MCG2,31,1.2481868128235765
GSM8546886,GBM035,MCG5,MCG3,31,0.8156628164339238
GSM8546886,GBM035,MCG5,MCG4,31,0.9923993410832461
GSM8546886,GBM035,MCG5,MCG5,31,1.652545632337212
GSM8546886,GBM035,MCG5,MAC1,31,0.8282228178041616
GSM8546886,GBM035,MCG5,MAC2,31,0.7181059052336864
GSM8546886,GBM035,MCG5,E-MDSC,31,1.126897376174584
